"des_plan","anio_apertura_expediente","abandona","convocatoria_acceso","des_acceso","sexo","municipio","anio_nacimiento_interval","1st_model","scholarship","cum_absent_ratio","cum_pass_ratio","nota_admision_def","GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","GRADO EN INGENIERÍA CIVIL - HIDROLOGÍA","GRADO EN INGENIERÍA CIVIL - TRANSPORTES Y SERVICIOS URBANOS","GRADO EN EDIFICACIÓN","GRADO EN INGENIERÍA INFORMÁTICA EN INGENIERÍA DE COMPUTADORES","2009-10","2010-11","2011-12","2012-13","2013-14","2014-15","2015-16","2016-17","2008-09","JUN","SEP","EXT","ENE","Selectividad","Formación Profesional","H","D","(1990.0, 1995.0]","(1985.0, 1990.0]","(1980.0, 1985.0]","(1995.0, 2000.0]","(1975.0, 1980.0]","N","S"
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Selectividad","H","CÁCERES","(1990.0, 1995.0]",0,"N",0,1,7.67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2009-10","0","JUN","Formación Profesional","D","VALLE DE LA SERENA","(1985.0, 1990.0]",0,"S",0.1428571428571428,0.5714285714285714,6.63,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","D","CÁCERES","(1990.0, 1995.0]",0,"N",0.4285714285714285,0.5714285714285714,6.842,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","PUEBLA DE LA CALZADA","(1990.0, 1995.0]",0,"S",0,0.5,6.586,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","AZUAGA","(1990.0, 1995.0]",0,"S",0.3333333333333333,0.6666666666666666,7.044,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","FUENTE DEL MAESTRE","(1990.0, 1995.0]",0,"S",0.125,0.5,7.676,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","FUENTE DEL MAESTRE","(1990.0, 1995.0]",0,"S",0,0.8333333333333334,7.446,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","D","CÁCERES","(1990.0, 1995.0]",0,"N",0.125,0.25,6.97,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","0","JUN","Selectividad","H","PALMA DEL RÍO","(1990.0, 1995.0]",0,"N",0.25,0.5,5.828,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES","2010-11","1","SEP","Selectividad","H","CÁCERES","(1985.0, 1990.0]",1,"N",0.6,0.1,5.35,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
